Name,Position,Height,Weight,BMI
Adam_Donachie,Catcher,1.8796,81.64656,23.11037638875862
Paul_Bako,Catcher,1.8796,97.52228,27.604060686572797
Ramon_Hernandez,Catcher,1.8288,95.25431999999999,28.48080464679448
Kevin_Millar,First_Baseman,1.8288,95.25431999999999,28.48080464679448
Chris_Gomez,First_Baseman,1.8541999999999998,85.275296,24.803335176195596
Brian_Roberts,Second_Baseman,1.7526,79.83219199999999,25.990368636901945
Miguel_Tejada,Shortstop,1.7526,94.80072799999999,30.86356275632106
Melvin_Mora,Third_Baseman,1.8034,90.7184,27.894029206031043
Aubrey_Huff,Third_Baseman,1.9304,104.779752,28.11789134658602
Adam_Stern,Outfielder,1.8034,81.64656,25.104626285427933
Jeff_Fiorentino,Outfielder,1.8541999999999998,85.275296,24.803335176195596
Freddie_Bynum,Outfielder,1.8541999999999998,81.64656,23.74787410486812
Nick_Markakis,Outfielder,1.8796,83.91452,23.75233128844636
Brandon_Fahey,Outfielder,1.8796,72.57472,20.542556790007662
Corey_Patterson,Outfielder,1.7526,81.64656,26.58105883319517
Jay_Payton,Outfielder,1.778,83.91452,26.54444206847597
Erik_Bedard,Starting_Pitcher,1.8541999999999998,85.728888,24.93526781011153
Hayden_Penn,Starting_Pitcher,1.905,83.91452,23.123158424094626
Adam_Loewen,Starting_Pitcher,1.9811999999999999,99.336648,25.307710773212477
Daniel_Cabrera,Starting_Pitcher,2.0065999999999997,104.32616,25.91025018614691
Steve_Trachsel,Starting_Pitcher,1.9304,92.98636,24.95310703917807
Jaret_Wright,Starting_Pitcher,1.8796,104.32616,29.529925385636016
Kris_Benson,Starting_Pitcher,1.9304,88.45044,23.735882305559628
Scott_Williamson,Relief_Pitcher,1.8288,81.64656,24.41211826868098
John_Parrish,Relief_Pitcher,1.8034,87.089664,26.7782680377898
Danys_Baez,Relief_Pitcher,1.905,102.0582,28.122760245520492
Chad_Bradford,Relief_Pitcher,1.9558,92.079176,24.07202028099452
Jamie_Walker,Relief_Pitcher,1.8796,88.45044,25.03624108782184
Brian_Burres,Relief_Pitcher,1.8541999999999998,82.553744,24.011739372699992
Kurt_Birkins,Relief_Pitcher,1.8796,85.275296,24.137504228259004
James_Hoey,Relief_Pitcher,1.9811999999999999,90.7184,23.112064633070755
Sendy_Rleal,Relief_Pitcher,1.8541999999999998,81.64656,23.74787410486812
Chris_Ray,Relief_Pitcher,1.905,90.7184,24.998009107129327
Jeremy_Guthrie,Relief_Pitcher,1.8541999999999998,90.7184,26.386526783186806
A.J._Pierzynski,Catcher,1.905,111.13004,30.622561156233424
Toby_Hall,Catcher,1.905,108.86207999999999,29.99761092855519
Paul_Konerko,First_Baseman,1.8796,97.52228,27.604060686572797
Tadahito_Iguchi,Second_Baseman,1.7526,83.91452,27.319421578561702
